yy;anom
1971;-0.8432367056455233
1972;-0.9540825007741884
1973;0.13401274415715322
1974;-1.1629968830582347
1975;0.24006371465748017
1976;0.5106201352464946
1977;-0.7634694715756648
1978;0.24054035833740267
1979;1.1719792982899864
1980;0.4016216725814153
1981;0.011994283033443529
1982;0.09425830402186502
1983;-0.08533331370987893
1984;0.06449064751026129
1985;-0.7625805144317036
1986;0.1667768238375216
1987;0.8112979909502382
1988;-1.44207689658388
1989;0.515746548952024
1990;-0.24961328447595774
1991;0.6300682884182192
1992;0.9577357608957004
1993;-0.351098854621557
1994;-0.05756205847470739
1995;-1.1120447942951508
1996;0.2063540498960322
1997;0.9735322254858143
1998;0.07401476562595885
1999;0.4046781865232689
2000;-0.1061773491324275
2001;-1.337399823484204
2002;-0.6032903225473925
2003;-0.134964327799655
2004;-0.36318721854851194
2005;0.34239829903148666
2006;-0.968311169303453
2007;-2.0572660338995385
2008;0.10777468940302395
2009;-0.26733230301878075
2010;0.15805208031772236
2011;-0.2992945235310558
2012;0.7721130790559224
2013;0.2730771116971161
2014;0.5110752503781253
2015;0.4172643460307266
2016;-0.3604736158696624
2017;0.2673492879314124
2018;-0.3811084461328811
2019;0.8675833152159792
2020;0.5630063298201377
